tweet_date,image_url,hashtag_list,week,year,tweet_id,url_check,alt_text
2021-01-31T14:01:28Z,http://pbs.twimg.com/media/EtEMpYvW8AICITi.png,"TidyTuesday, rstats, rtweet, TidyTuesday, TidyTuesday",5,2021,1355878869992169472,Links included,Image
2021-01-31T20:42:10Z,http://pbs.twimg.com/tweet_video_thumb/EtFnI90UUAE5QdB.jpg,tidytuesday,5,2021,1355979710379905026,Links included,
2021-02-01T05:30:40Z,http://pbs.twimg.com/media/EtHg8gVUUAM9R64.jpg,TidyTuesday,5,2021,1356112713110364161,Images-only,Image
2021-02-01T09:42:14Z,http://pbs.twimg.com/media/EtIad-bW8AEOQ4Q.png,"TidyTuesday, RStats, RStatsFR",5,2021,1356176019779178496,Images-only,Image
2021-02-01T12:23:21Z,http://pbs.twimg.com/media/EtI_ritXAAMYL8V.jpg,TidyTuesday,5,2021,1356216566761877504,Links included,
2021-02-01T12:58:21Z,http://pbs.twimg.com/media/EtJHwIwXYAIgILX.png,TidyTuesday,5,2021,1356225373055365120,Images-only,Image
2021-02-01T15:52:44Z,http://pbs.twimg.com/media/EtJvrrQU0AEPCEZ.jpg,"TidyTuesday, RStats",5,2021,1356269258926264320,Links included,Image
2021-02-01T19:28:50Z,http://pbs.twimg.com/media/EtKg4i6XEAsKV2F.jpg,"TidyTuesday, rstats, r4ds, dataviz",5,2021,1356323643781996544,Links included,Image
2021-02-01T20:42:45Z,http://pbs.twimg.com/media/EtKxDxIXMAM_90X.png,TidyTuesday,5,2021,1356342246233284608,Links included,Image
2021-02-02T01:33:14Z,http://pbs.twimg.com/media/EtL0kDIWMAETvQK.jpg,"TidyTuesday, r4ds, tidyverse, rstats, dataviz",5,2021,1356415349323952130,Links included,Image
2021-02-02T03:39:36Z,http://pbs.twimg.com/media/EtMQWXFXUAA5p9V.png,"TidyTuesday, RStats",5,2021,1356447150096453633,Links included,Image
2021-02-02T06:06:01Z,http://pbs.twimg.com/media/EtMxs3PWgAAEGs7.png,"HBCUs, TidyTuesday, rstats",5,2021,1356483994456588288,Links included,Image
2021-02-02T08:41:12Z,http://pbs.twimg.com/media/EtNWXXNVkAAKEuS.png,"TidyTuesday, rstats, energytransition, hydro, nuclear, wind, solar, auspol, cleanenergy",5,2021,1356523048757694468,Images-only,Image
2021-02-02T15:38:40Z,http://pbs.twimg.com/media/EtO1fVDXMAcLO6y.jpg,TidyTuesday,5,2021,1356628106790985728,Links included,Screenshot of R code to clean HBCU Enrollment data from Tidy Tuesday
